lat,lon
49.898302,9.394346
51.094361,1.046817
52.424872,10.745689
49.204187,4.012336
49.455104,15.593272
50.969463,3.841574
42.529460,-3.331872
59.27509,15.17753
43.22381,11.80217
55.58492,12.258
48.908924,-1.102999
52.386433,9.998919
47.680553,17.976528
48.583937,10.175605
48.992969,1.633507
52.750691,-6.202153
48.205930,8.621045
38.41723,15.90446
45.275563,4.825571
49.944184,10.019955
58.0244,11.84746
48.056232,16.711973
41.898860,2.770519
48.309517,7.788855
40.6147,14.96799
53.855673,13.333344
49.955810,14.062759
58.23655,8.29948
51.064410,2.673611
50.055972,11.609148
52.014276,5.119229
47.802000,-0.169900
49.614343,0.545844
47.813347,5.224590
54.092671,9.929140
49.242989,3.919106
57.1645,14.07578
52.179100,5.984281
48.584287,10.178996
44.286754,-0.229096
55.30933,10.80495
42.577784,2.848341
53.000606,9.179514
43.9292,10.22384
59.17525,17.64293
43.421850,-0.598593
50.299926,8.234700
51.467751,7.596959
51.626603,4.869592
37.535858,-8.184742
52.318183,13.494709
37.57169,14.4797
44.08777,8.20626
44.77544,10.86072
59.38093,13.46529
57.06941,24.31657
48.231920,7.402639
45.559250,14.244183 
48.931044,12.705416
55.00796,-3.08265
43.418629,-0.584799
45.660128,3.153525
52.014675,5.122220
52.388762,9.996310
49.241155,10.356121
54.014217,9.933250
51.587934,-0.629065
47.011751,9.512371
46.606361,15.663762
51.450971,11.305148
52.998531,9.181213
47.140914,9.924473
49.161250,8.567226
59.88546,17.66622
48.692530,12.672979
45.030881,1.524313
47.16577,0.63161
46.774589,5.523009
50.724708,10.847168
50.688524,8.295916
54.99774,12.0007
48.837085,11.469313
45.611787,5.212795
52.532663, -0.320650
45.876536,6.070678
57.2513,16.44875
45.548541,6.158058
51.380080,5.985541
50.856750,12.313200
46.378498,2.586958
46.296224,-0.378539
59.49497,8.2027
43.985279,3.183078
55.397326,-1.693232
47.032073,5.109707
53.109317,9.981663
52.013772,-0.203003
50.726454,10.841634
48.225489,4.133247
39.712916,-8.709630
50.833837,9.570775
50.817668,6.213854
48.206218,8.627155 
45.907702,15.370800
49.944645,10.016529
51.305255,-0.406730
52.226977,9.232545
58.57675,16.1812
49.215116,6.171845
41.31261,-2.00133
43.586073,-1.420776
46.209502,9.026603
51.926279,10.143238
44.004071,4.703626
57.168,12.2774
50.511752,14.052646
46.751623,2.417606
52.26907,-0.00901
45.547331,6.154824
48.058328,10.847694
43.915744,1.309462
46.339817,14.191662
46.959244,15.382045
60.42587,22.724
50.817306,6.216629
60.70205,8.94337
44.22647,9.72971
43.586191,-1.419585
61.74251,17.07861
53.110044,9.984058
48.406431,10.952255
60.083312,10.287055
61.57475,6.48347
56.02307,14.17307
49.532356,12.134910
47.948716,1.859535
49.614324,0.547145
48.264072,2.722024
44.024414,4.889640
47.974493,3.197267
51.156807,6.964803
41.643444,0.931306
52.184387,5.670553
45.610095,-0.598651
45.889238,4.893502
52.313106,14.641469
46.701811,0.371062
48.308819,7.791519
45.137606,0.701018
46.751937,2.417075
50.898384,10.725625
46.313348,1.416566
48.095180,-0.693474
52.445204,10.785230
49.485555,10.213267
36.8982555,-4.4298849
60.88007,11.55093
61.24266,10.4335
41.605470,-8.551002
50.068492,6.880212
55.837232,-4.242494
43.999633,4.700191
48.126677,0.623299
51.370391,9.633405
50.488351,9.708473
43.423464,5.993311
44.114320,15.407460
47.664023,1.387813
47.584781,13.157939
46.064687,6.409478
42.526087,-3.333200
42.964918,-7.457615
59.83325,6.81375
47.801229,12.177198 
53.77046,-1.47691
52.326149,7.430067
46.683560,17.378480
53.692558,10.320428
51.290152,12.137596
57.81289,13.41947
58.91483,11.26034
51.739103,6.595180
45.540178,13.726839
48.273996,-2.187398
48.693667,9.303297
45.783760,16.150672
47.223166,5.010984
51.834832,4.618082
45.885078,4.894234
50.619058,3.341152
53.299981,9.532557
52.416656,10.783389
52.066539,4.738413
42.965803,-7.454554
47.490125,14.485299
60.9835,25.73731
51.513848,-2.109768
50.622937,8.894846
58.68492,13.84544
45.030878,1.525098
50.078289,5.131878
63.01096,7.97538
53.147243,12.398704
43.413842,6.451935
46.832458,6.859379
58.00147,14.45086
50.970743,3.844233
43.3348,1.245 
47.00627,11.50668
55.67309,24.33591
61.00769,24.42201
47.030917,5.107910
46.573538,-1.118014
49.925780,7.936795
52.50884,-7.87441
50.619572,3.338944
50.054708,8.908177
43.59197,7.036228
41.311642,-2.002738
53.886851,18.630851
48.46700,1.579341
45.673865,5.929976
50.167230,1.755877
56.419402,-3.463082
38.824574,-3.396857
