lat,lng,park
51.0825,13.2741,1
49.84,8.14366,1
52.2668,12.9225,1
50.5625,7.52553,1
49.0009,12.0484,1
49.1612,11.2606,1
51.371,9.63331,1
53.8232,10.5036,1
52.1356,10.2884,1
51.5702,7.67527,1
51.5447,12.014,1
51.5595,9.87945,1
49.594,8.63231,1
52.2382,8.16296,1
48.2188,10.1274,1
50.0724,8.47697,1
48.9091,8.69096,1
50.2029,11.7766,1
52.4001,13.546,1
48.0397,11.6612,1
53.2347,13.9865,1
51.29,12.1373,1
52.3592,7.26422,1
49.7691,10.4705,1
